,concept_id,found_from,concept_name,domain_id,vocabulary_id,standard_concept,Include?
301,44802020,From initial search,Severe lymphoedema of limb,Condition,SNOMED,S,y
302,44802882,From initial search,Referral to community lymphoedema service,Observation,SNOMED,S,y
303,44801795,From initial search,Has lymphoedema key worker,Observation,SNOMED,S,y
304,44802359,From initial search,Intensive treatment of lymphoedema,Observation,SNOMED,S,y
305,4010968,From initial search,Edema of elbow,Condition,SNOMED,S,y
306,4010971,From initial search,Edema of lower extremity,Condition,SNOMED,S,y
307,4304346,From initial search,Inflammatory edema,Observation,SNOMED,S,y
310,4242440,From initial search,Dependent edema,Observation,SNOMED,S,y
313,45763822,From initial search,Edema of upper eyelid,Condition,SNOMED,S,y
330,4101027,From initial search,Subconjunctival edema,Condition,SNOMED,S,y
332,4096620,From initial search,Edema of lumbar cord,Condition,SNOMED,S,y
333,4158343,From initial search,Peripheral edema,Condition,SNOMED,S,y
334,380102,From initial search,Corneal edema,Condition,SNOMED,S,y
335,380720,From initial search,Secondary corneal edema,Condition,SNOMED,S,y
336,1340321,From initial search,Exacerbation of edema,Condition,OMOP Extension,S,y
337,4154456,From initial search,Localized retinal edema,Condition,SNOMED,S,y
338,4141850,From initial search,Referral to lymphedema care nurse,Observation,SNOMED,S,y
340,4195046,From initial search,Clinically significant macular edema,Condition,SNOMED,S,y
341,37207959,From initial search,Edema of right upper eyelid,Condition,SNOMED,S,y
342,37207971,From initial search,Bilateral pseudopapilledema of eyes,Condition,SNOMED,S,y
344,4189298,From initial search,Corneal epithelial edema,Condition,SNOMED,S,y
347,4105178,From initial search,Cystoid macular edema,Condition,SNOMED,S,y
351,37311252,From initial search,Edema of left lower leg,Condition,SNOMED,S,y
352,37311251,From initial search,Edema of right lower leg,Condition,SNOMED,S,y
353,37311247,From initial search,Edema of left upper limb,Condition,SNOMED,S,y
354,37311246,From initial search,Edema of right upper limb,Condition,SNOMED,S,y
355,37311245,From initial search,Bilateral upper limb edema,Condition,SNOMED,S,y
356,37311857,From initial search,Edema of left upper arm,Condition,SNOMED,S,y
358,3661528,From initial search,Angioedema,Observation,SNOMED,S,y
359,3655268,From initial search,Generalized edema due to fluid overload,Condition,SNOMED,S,y
362,4233682,From initial search,Edema of oral soft tissues,Condition,SNOMED,S,y
363,4319301,From initial search,Scleredema,Condition,SNOMED,S,y
364,42598264,From initial search,Submandibular edema,Condition,SNOMED Veterinary,S,y
369,37108888,From initial search,Macular edema of retina of right eye,Condition,SNOMED,S,y
371,37117079,From initial search,Edema of optic disc of left eye,Condition,SNOMED,S,y
372,36712977,From initial search,Venous stasis edema of left lower limb,Condition,SNOMED,S,y
374,4293698,From initial search,Lymphedema of ear,Condition,SNOMED,S,y
375,4301048,From initial search,Penile venereal edema,Condition,SNOMED,S,y
376,4308632,From initial search,Optic disc edema,Condition,SNOMED,S,y
380,40481968,From initial search,Edema of sole of foot,Condition,SNOMED,S,y
381,4175817,From initial search,Massive edema,Observation,SNOMED,S,y
382,44802878,From initial search,Limb oedema of sudden onset,Condition,SNOMED,S,y
383,44801742,From initial search,Referral for intensive treatment of lymphoedema,Observation,SNOMED,S,y
384,4010011,From initial search,Edema of thigh,Condition,SNOMED,S,y
385,4010009,From initial search,Edema of thumb,Condition,SNOMED,S,y
386,4003006,From initial search,Edema of oral vestibule,Condition,SNOMED,S,y
390,4246404,From initial search,Hard edema,Observation,SNOMED,S,y
392,44782959,From initial search,Edema of extremity of sudden onset,Condition,SNOMED,S,y
394,4321716,From initial search,Gingival edema,Condition,SNOMED,S,y
400,4334119,From initial search,Aphakic corneal edema,Condition,SNOMED,S,y
401,4339010,From initial search,Central retinal vein occlusion with macular edema,Condition,SNOMED,S,y
404,4032595,From initial search,Idiopathic scrotal edema,Condition,SNOMED,S,y
405,4083998,From initial search,Aspirin-induced angioedema-urticaria,Condition,SNOMED,S,y
407,4087149,From initial search,Dependent edema,Condition,SNOMED,S,y
409,4094513,From initial search,Ankle edema,Condition,SNOMED,S,y
410,4096621,From initial search,Edema of sacral cord,Condition,SNOMED,S,y
412,4172672,From initial search,Myedema,Condition,SNOMED,S,y
413,1340248,From initial search,Exacerbation of angioedema,Condition,OMOP Extension,S,y
418,4101821,From initial search,Edema of prepuce,Condition,SNOMED,S,y
421,36717304,From initial search,Non-traumatic cerebral edema,Condition,SNOMED,S,y
423,36684660,From initial search,Cystoid macular edema of right retina,Condition,SNOMED,S,y
424,3657020,From initial search,Edema of right lower eyelid,Condition,SNOMED,S,y
428,4161207,From initial search,ACE inhibitor-aggravated angioedema,Condition,SNOMED,S,y
429,4159968,From initial search,Corneal stromal edema,Condition,SNOMED,S,y
430,4189299,From initial search,Bullous corneal epithelial edema,Condition,SNOMED,S,y
431,4024297,From initial search,Nasal mucosa edematous,Condition,SNOMED,S,y
432,23799,From initial search,Pharynx or nasopharynx edema,Condition,SNOMED,S,y
433,4056883,From initial search,Edema of pharynx,Condition,SNOMED,S,y
434,3654235,From initial search,Bilateral feet edema,Condition,SNOMED,S,y
435,3655099,From initial search,Angioedema of lip,Condition,SNOMED,S,y
436,374950,From initial search,Edema of eyelid,Condition,SNOMED,S,y
437,42596548,From initial search,Perivascular edema,Observation,SNOMED Veterinary,S,y
438,42574098,From initial search,Edema of ventral neck,Condition,SNOMED Veterinary,S,y
441,4299016,From initial search,Acute edema blisters,Condition,SNOMED,S,y
442,36712941,From initial search,Macular edema of retina of bilateral eyes,Condition,SNOMED,S,y
443,761524,From initial search,Papilledema of right eye,Condition,SNOMED,S,y
444,3657791,From initial search,Edema of corneal stroma of right eye,Condition,SNOMED,S,y
447,4296365,From initial search,Lymphedema of penis,Condition,SNOMED,S,y
448,4252207,From initial search,Acute edema,Observation,SNOMED,S,y
451,4205497,From initial search,Lymphedema of limb,Condition,SNOMED,S,y
452,40482819,From initial search,Edema of dorsum of hand,Condition,SNOMED,S,y
453,40483787,From initial search,Edema of extremity with extension to trunk,Condition,SNOMED,S,y
454,42709749,From initial search,Lymphedema of upper arm,Condition,SNOMED,S,y
456,44802547,From initial search,Lymphoedema monitoring,Observation,SNOMED,S,y
457,4198564,From initial search,Supraglottic edema,Condition,SNOMED,S,y
458,4182393,From initial search,Peripheral retinal edema,Condition,SNOMED,S,y
461,4010900,From initial search,Transient edema,Observation,SNOMED,S,y
462,372903,From initial search,Retinal edema,Condition,SNOMED,S,y
467,45767286,From initial search,Exudative edema,Condition,SNOMED,S,y
469,36715511,From initial search,Edema due to fluid overload,Condition,SNOMED,S,y
476,4026047,From initial search,Sacral edema,Condition,SNOMED,S,y
479,4334751,From initial search,Phakic corneal edema,Condition,SNOMED,S,y
480,4334752,From initial search,Pseudophakic corneal edema,Condition,SNOMED,S,y
481,4049236,From initial search,Edema of uvula,Condition,SNOMED,S,y
486,4086676,From initial search,Swelling or edema,Condition,SNOMED,S,y
487,4094012,From initial search,Abdominal wall edema,Condition,SNOMED,S,y
492,3170605,From initial search,Edema with potential skin breakdown,Condition,Nebraska Lexicon,S,y
494,36684726,From initial search,Cystoid macular edema of left retina,Condition,SNOMED,S,y
495,762385,From initial search,Edema of right eyelid,Condition,SNOMED,S,y
496,37207960,From initial search,Edema of left upper eyelid,Condition,SNOMED,S,y
497,3662401,From initial search,Edema of left lower eyelid,Condition,SNOMED,S,y
498,36684786,From initial search,Bilateral cystoid macular edema of retinas,Condition,SNOMED,S,y
501,4265394,From initial search,Edema of vulva,Condition,SNOMED,S,y
504,201907,From initial search,Edema of male genital organs,Condition,SNOMED,S,y
505,201346,From initial search,Edema of penis,Condition,SNOMED,S,y
507,37311250,From initial search,Bilateral lower limb edema,Condition,SNOMED,S,y
508,3655137,From initial search,Acute edema,Condition,SNOMED,S,y
509,3655089,From initial search,Respiratory angioedema,Condition,SNOMED,S,y
511,4319307,From initial search,Mucous membrane edema,Condition,SNOMED,S,y
517,4270861,From initial search,Allergic angioedema,Condition,SNOMED,S,y
521,765062,From initial search,Lymphedema of bilateral upper limbs,Condition,SNOMED,S,y
522,37209358,From initial search,Bilateral edema of eyelids,Condition,SNOMED,S,y
523,3662351,From initial search,Bilateral microcystic edema of cornea,Condition,SNOMED,S,y
528,4297361,From initial search,Angioedema and/or urticaria,Condition,SNOMED,S,y
529,4299806,From initial search,Lymphedema of lower extremity,Condition,SNOMED,S,y
530,4227224,From initial search,1+ pitting edema,Condition,SNOMED,S,y
531,4334176,From initial search,Noncystoid edema of macula of retina,Condition,SNOMED,S,y
532,40480159,From initial search,Edema of chest wall,Condition,SNOMED,S,y
533,40481573,From initial search,Edema of all toes,Condition,SNOMED,S,y
534,40482905,From initial search,Firm nonpitting edema,Condition,SNOMED,S,y
538,44802880,From initial search,Oedema of head,Condition,SNOMED,S,y
540,4010362,From initial search,Edema of foot,Condition,SNOMED,S,y
541,4010970,From initial search,Edema of finger,Condition,SNOMED,S,y
544,4195695,From initial search,Leukedema of mouth,Condition,SNOMED,S,y
548,36715489,From initial search,Localized edema due to fluid overload,Condition,SNOMED,S,y
549,37110576,From initial search,Edema of soft tissue due to increased capillary pressure,Condition,SNOMED,S,y
551,42536675,From initial search,Chronic edema of penis,Condition,SNOMED,S,y
559,4087153,From initial search,Widespread retinal edema,Condition,SNOMED,S,y
560,4095997,From initial search,Edema of thoracic cord,Condition,SNOMED,S,y
561,4131335,From initial search,Stomal edema,Observation,SNOMED,S,y
562,3045290,From initial search,Edema,Observation,LOINC,S,y
564,42869826,From initial search,Edema present,Observation,LOINC,S,y
566,4127843,From initial search,Edema of cervix,Condition,SNOMED,S,y
568,4147210,From initial search,Lymphatic edema,Observation,SNOMED,S,y
569,4126002,From initial search,Referral by lymphedema care nurse,Observation,SNOMED,S,y
573,3656971,From initial search,Edema of left orbit,Condition,SNOMED,S,y
574,37207947,From initial search,Conjunctival edema of left eye,Condition,SNOMED,S,y
575,762400,From initial search,Periorbital edema of right eye,Condition,SNOMED,S,y
576,4290333,From initial search,Macular retinal edema,Condition,SNOMED,S,y
578,37311249,From initial search,Edema of left lower limb,Condition,SNOMED,S,y
579,4217627,From initial search,Edema of the tongue,Condition,SNOMED,S,y
580,44806913,From initial search,Unilateral oedema of arm,Condition,SNOMED,S,y
582,4311956,From initial search,Chronic edema,Observation,SNOMED,S,y
584,44811523,From initial search,Seen in lymphoedema clinic,Observation,SNOMED,S,y
